config,variant,regime,std_sum_mean,fom3_mean,sigma8_std_mean,fom3_ratio_bnt_over_nobnt,inflation_std_sum_bnt_over_nobnt,n_seeds
run_a_resnet18,old,nobnt,0.19095276792844137,359617.4051327754,0.014825943546990553,0.7807088607434439,1.0559385410469861,3
run_a_resnet18,new,nobnt,0.3440961341063182,14947.265838054605,0.04172718649109205,0.6297615644965997,1.0769190617512616,3
run_a_resnet18,old,bnt,0.2016343871752421,280756.49466472265,0.017990865434209507,0.7807088607434439,1.0559385410469861,3
run_a_resnet18,new,bnt,0.37056368589401245,9413.213519119847,0.05010507752497991,0.6297615644965997,1.0769190617512616,3
run_b_advanced_plain,old,nobnt,0.17700551450252533,537708.3903971174,0.013862796500325203,0.7494160888081512,1.077079183903139,5
run_b_advanced_plain,new,nobnt,0.34557772278785703,16894.473441531132,0.03823275715112686,0.8666199291564823,1.0333125893728452,5
run_b_advanced_plain,old,bnt,0.19064895510673524,402967.31885073415,0.015695319138467313,0.7494160888081512,1.077079183903139,5
run_b_advanced_plain,new,bnt,0.35708981156349184,14641.087377035783,0.040147348493337634,0.8666199291564823,1.0333125893728452,5
