name,family,variant_group,compressor_steps,use_noise_curriculum,curriculum_stage_fracs,inflation_std_sum_bnt_over_nobnt,fom3_ratio_bnt_over_nobnt,sigma8_std_ratio_bnt_over_nobnt,rank_score,fom3_parity_abs_err,nobnt_fom3_mean,bnt_fom3_mean,nobnt_std_sum_mean,bnt_std_sum_mean,outlier_note
plain_ref,plain,baseline,120000,False,"0.10,0.15,0.20,0.25,0.30",1.020005796209746,0.913723342957839,1.1290256877651164,0.106282453251907,0.08627665704216103,464072.2048801829,424033.6064169359,0.18171766102313996,0.1853530675172806,
plain_curriculum_fullnoise_match,plain,fullnoise_match,150000,True,"0.05,0.05,0.05,0.05,0.80",1.0403838655945288,0.9049402104493702,1.2096290542973624,0.13544365514515855,0.09505978955062977,487124.29690898035,440818.3637598142,0.17774800658226014,0.18492615818977357,
resnet18_curriculum,resnet18,baseline,15000,True,"0.10,0.15,0.20,0.25,0.30",0.9614523099965878,0.8684461776715281,0.9076479371801819,0.17010151233188409,0.1315538223284719,230896.93710081364,200521.56246126484,0.20582114160060883,0.19788721203804016,
resnet18_curriculum_fullnoise_match,resnet18,fullnoise_match,20000,True,"0.05,0.05,0.05,0.10,0.75",1.1333971958888829,0.7467049795041633,1.52446721267289,0.3866922163847196,0.25329502049583674,302304.8498319954,225732.53669780926,0.1870045006275177,0.2119503766298294,bnt seed 42 low FoM3 (6858.2 vs median 275217.4)
