name,seeds,rank_score,std_infl_all,fom_ratio_all,nobnt_fom3_all,bnt_fom3_all,std_infl_41_43,fom_ratio_41_43,nobnt_fom3_41_43,bnt_fom3_41_43,delta_fom_ratio_vs_control_41_43,delta_std_infl_vs_control_41_43,nobnt_fom3_fraction_vs_control_41_43
control_plain_split,"[41, 42, 43, 44, 45]",0.4493205268307582,1.0592058795031327,0.6098853526723745,396125.3604983136,241591.0551899855,1.0579989858280388,0.6196066673183283,396073.4303889777,245409.73821665233,0.0,0.0,1.0
resnet_small_split,"[41, 42, 43, 44, 45]",0.7104017838634511,1.1222062743302539,0.4118044904668028,393203.0293814241,161922.77316442062,1.1247790198412988,0.418060502861845,385915.22776572936,161335.91418178426,-0.20154616445648327,0.06678003401326005,0.9743527289541434
resnet50_split,"[41, 42, 43]",0.49118559603472256,1.0702855555296191,0.5790999594948966,165789.9379196576,96008.94633393512,1.0702855555296191,0.5790999594948966,165789.9379196576,96008.94633393512,-0.04050670782343169,0.012286569701580374,0.4185838412761942
