condition,noisy_n,noisy_std_sum_mean,noisy_std_sum_std,noisy_fom3_mean,noisy_fom3_std,noisy_sigma8_std_mean,noisy_sigma8_std_std,noisy_om_s8_area_mean,noisy_om_s8_area_std,noiseless_n,noiseless_std_sum_mean,noiseless_std_sum_std,noiseless_fom3_mean,noiseless_fom3_std,noiseless_sigma8_std_mean,noiseless_sigma8_std_std,noiseless_om_s8_area_mean,noiseless_om_s8_area_std,std_sum_ratio_noiseless_over_noisy,fom3_ratio_noiseless_over_noisy,sigma8_std_ratio_noiseless_over_noisy,om_s8_area_ratio_noiseless_over_noisy
nobnt,3,0.22492395341396332,0.002756775286976315,221867.46235312996,8024.70443213635,0.0220017172396183,0.001192694403655734,0.0010218321933778028,2.420542414988424e-05,3,0.14479718605677286,0.001840110798967811,1729732.0559273425,85357.75097571006,0.00920509391774734,0.000138344165922231,0.0002314486163397828,6.805906983379372e-06,0.6437606304664206,7.796240321053731,0.4183807026286024,0.2265035470987643
bnt,3,0.4059671064217885,0.005672567685290232,21030.3577028243,788.2194162796222,0.20743987957636514,0.007414474881031167,0.00966376759621545,0.00026389127845056077,3,0.14381681879361471,0.0013994086223907863,1821071.4238731463,89621.28872404444,0.008639903739094734,0.00022187861566213426,0.00021521416075225624,4.1895415885535665e-06,0.35425731917352205,86.59250829711674,0.04165015789991391,0.022270212793252496
