rank_position,variant,inflation_std_sum_bnt_over_nobnt,fom3_ratio_bnt_over_nobnt,nobnt_fom3_mean,bnt_fom3_mean,rank_score,metrics_file
1,r50_long30k_std10k_l10h320,0.9832322662281627,0.8027832405955488,321064.69404795597,257745.35552863652,0.21398449317628843,/mnt/home/tersenov/software/cnn_sbi/scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_resnet_split_campaign/resnet_extended_tuning_v2/resnet50/r50_long30k_std10k_l10h320/metrics.json
2,r50_long30k_nostd12k_l12h384,1.0329717090588293,0.7813421006585,313970.2656641185,245318.18691830966,0.25162960840032933,/mnt/home/tersenov/software/cnn_sbi/scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_resnet_split_campaign/resnet_extended_tuning_v2/resnet50/r50_long30k_nostd12k_l12h384/metrics.json
3,r50_long30k_nostd6k_l8h256,1.0512219241525083,0.7810581611627813,507302.4538402422,396232.7217498263,0.270163762989727,/mnt/home/tersenov/software/cnn_sbi/scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_resnet_split_campaign/resnet_extended_tuning_v2/resnet50/r50_long30k_nostd6k_l8h256/metrics.json
