name,summary_dim,seeds,std_inflation_bnt_over_nobnt,fom_ratio_bnt_over_nobnt,sigma8_std_ratio_combined,sigma8_std_ratio_seed_mean,sigma8_std_ratio_seed_std,omega_m_sigma8_area_ratio_combined,nobnt_fom3_mean,bnt_fom3_mean,nobnt_std_sum_mean,bnt_std_sum_mean,score_fom_over_std,rank_by_fom_over_std
advanced_arch64_dense256_nostd_cdim10,10,"41,42,43,44,45",1.0296936645553332,0.9064834087939999,1.2646510601043701,1.168406105041504,0.009354288429160118,1.4505810073907681,513673.18125136226,465636.21634679305,0.18098345696926116,0.186357519030571,0.880342804852994,1
advanced_arch64_dense256_nostd_cdim6,6,"41,42,43,44,45",1.0451931520350115,0.892304655557853,1.342801570892334,1.169078803062439,0.012653350660603808,1.4621464567633822,504594.1234487756,450251.6855204765,0.18284932374954224,0.19111286103725433,0.8537222558533974,2
stagej_repro,6,"41,42,43,44,45",1.03916693665907,0.7935150480334573,1.3707627058029175,1.217094397544861,0.012068669039778719,1.4098790030897812,470994.2670445307,373741.0384373238,0.1882934272289276,0.1956683039665222,0.7636069047622075,3
advanced_arch64_dense256_nostd_cdim8,8,"41,42,43,44,45",1.0422571444148414,0.7892247427795506,1.301353931427002,1.1923698902130127,0.018264254522064417,1.4387907757023526,544473.3099065811,429711.807961352,0.18257659673690796,0.19029176235198975,0.7572265126785465,4
nde_capacity_l10h320_flow12k,6,"41,42,43,44,45",1.0516366557047727,0.7437414296512485,1.458631157875061,1.225232434272766,0.05875249306632575,1.6034822213185052,490416.6402455844,364743.17314101296,0.1845159113407135,0.19404369592666626,0.7072228089584963,5
baseline_final_paper,6,"41,42,43",1.804908282376767,0.09478793095560738,9.114311218261719,9.43748410542806,0.3397151650618885,9.284514108110884,221867.46235312996,21030.3577028243,0.22492395341396332,0.4059671064217885,0.052516757710695014,6
