name,dataset,summary_dim,std_inflation_bnt_over_nobnt,fom_ratio_bnt_over_nobnt,sigma8_std_ratio_combined,sigma8_std_ratio_seed_mean,sigma8_std_ratio_seed_std,om_sigma8_area_ratio_combined,nobnt_fom3_mean,bnt_fom3_mean,nobnt_std_sum_mean,bnt_std_sum_mean,score_fom_over_std,source_metrics,source_posteriors,rank_by_fom_over_std
old_best_cdim10_random25,random25,10,1.0296936645553332,0.9064834087939999,1.2646510601043701,1.168406105041504,0.008366729923496699,1.450581007390768,513673.18125136226,465636.21634679305,0.18098345696926116,0.186357519030571,0.880342804852994,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_cdim10/advanced_arch64_dense256_nostd/metrics.json,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_cdim10/advanced_arch64_dense256_nostd/posteriors,1
indep_split_advanced_cdim10_long120k,nonoverlap48_split70_30,10,1.0368683812474226,0.8461610459388335,1.096550703048706,1.0922747135162354,0.03523167153965659,1.2045493988915388,518590.2263643614,438810.84835412446,0.17698773443698884,0.18351298570632935,0.8160737285872722,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_indep_split_advanced_cdim10_long120k_v1/advanced_arch64_dense256_nostd_long/metrics.json,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_indep_split_advanced_cdim10_long120k_v1/advanced_arch64_dense256_nostd_long/posteriors,2
multipatch_advanced_cdim10,nonoverlap48,10,1.0408843416482492,0.8433192131380814,1.3548613786697388,1.1803709983825683,0.01962584169032835,1.4184126826666472,526683.3282060878,444162.1699157039,0.1811903953552246,0.18859824538230896,0.8101949269432551,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_multipatch_advanced_cdim10_v1/advanced_arch64_dense256_nostd/metrics.json,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_multipatch_advanced_cdim10_v1/advanced_arch64_dense256_nostd/posteriors,3
indep_split_stagej_cdim6,nonoverlap48_split70_30,6,1.039846593578148,0.8128522060871662,1.3046072721481323,1.257338285446167,0.014694313284520564,1.4292572857991448,447785.9896224818,363983.8295195593,0.18856348395347594,0.19607709646224974,0.7817039658610736,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_indep_split_stagej_cdim6_v1/stagej_repro/metrics.json,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_indep_split_stagej_cdim6_v1/stagej_repro/posteriors,4
indep_split_advanced_cdim12,nonoverlap48_split70_30,12,1.0169096858233195,0.7943388999379459,1.3045696020126343,1.2482974767684936,0.01459116767979357,1.3294697349117877,525593.5634472437,417499.4130031485,0.1846780776977539,0.18780092597007753,0.7811302331089768,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_indep_split_advanced_cdim12_v1/advanced_arch64_dense256_nostd/metrics.json,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_indep_split_advanced_cdim12_v1/advanced_arch64_dense256_nostd/posteriors,5
indep_split_advanced_cdim10,nonoverlap48_split70_30,10,1.0519566474438453,0.769852707503646,1.4071216583251953,1.2111612796783446,0.011778147854923432,1.545234814520401,540922.4471369183,416430.6104778544,0.1816408723592758,0.19107832312583922,0.7318293100521917,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_indep_split_advanced_cdim10_v1/advanced_arch64_dense256_nostd/metrics.json,scripts/sbi/results/final/paper_sbi_consolidation/cnn_bnt_losslessness_campaign_indep_split_advanced_cdim10_v1/advanced_arch64_dense256_nostd/posteriors,6
