variant,inflation_std_sum_bnt_over_nobnt,fom3_ratio_bnt_over_nobnt,nobnt_fom3_mean,bnt_fom3_mean,rank_score
long15k_nostd6k_l8h256,1.0257630200513963,0.8083885845626495,323659.86491096596,261642.9400751141,0.2173744354887468
long15k_std6k_l8h256,1.0418357162494434,0.7560595009274144,342639.50797151896,259055.85539496146,0.285776215322029
