method,n_runs,expected_runs_per_method,fom3_ratio_mean,fom3_ratio_std,fom3_ratio_median,fom3_ratio_p16,fom3_ratio_p84,d_truth_mean,d_truth_std,d_truth_median,d_truth_p16,d_truth_p84,d_shift_mean,d_shift_std,d_shift_median,d_shift_p16,d_shift_p84,abs_norm_shift_om_mean,abs_norm_shift_s8_mean,abs_norm_shift_w0_mean
cnn,60,60,0.9288660047060244,0.046726792721695054,0.9250588289946576,0.8890514931908753,0.9779958777331634,2.22445768357341,0.810754345066631,2.2610783285452185,1.3686450207120568,2.898589248438856,1.9057350112654878,0.7235509857767435,1.8945613930956196,1.1340212736400008,2.700651692251121,1.3695828716129115,0.7547026828908387,1.3784952944473419
l1,60,60,1.3293716543536456,0.4006735515607922,1.3442408769213368,0.9544219250824233,1.7314287499982624,1.4456500183272876,0.7664358194633679,1.36444860740719,0.7207618654061504,1.902027838616305,1.7088052825057767,0.69032705725389,1.5918198424836674,1.0834327044000454,2.2301859818896985,0.6383251161924742,0.8212398845616604,0.5840757760128248
l1vmim,60,60,1.4626695636670612,0.23967575711636213,1.5902998708619138,1.1295711584102903,1.6681376617289811,1.8239527194941425,0.4557226438979335,1.547950372142272,1.4627548925399245,2.4611528938002314,1.932724682086497,0.5038108614675527,1.6254162171115045,1.5354128792217814,2.6373449499262054,0.4818689381195037,0.22778787766200148,1.1584649978962631
