method,n_runs,expected_runs_per_method,fom3_ratio_mean,fom3_ratio_std,fom3_ratio_median,fom3_ratio_p16,fom3_ratio_p84,d_truth_mean,d_truth_std,d_truth_median,d_truth_p16,d_truth_p84,d_shift_mean,d_shift_std,d_shift_median,d_shift_p16,d_shift_p84,abs_norm_shift_om_mean,abs_norm_shift_s8_mean,abs_norm_shift_w0_mean
cnn,60,60,1.0146686022460505,0.02844428020995158,1.0090505671293495,0.9929066879168545,1.035774182787382,2.1144564088131808,0.7328110155153484,2.214008096622665,1.3677002628220691,2.8462601025174394,1.5906754511720467,0.6543445618307684,1.5236278320226713,0.813699262962609,2.2265610048439384,0.9714624090711543,0.7200304980077957,0.9133629349958142
l1,60,60,1.3141929132256331,0.4209969906771964,1.2517422270402112,0.9014582236089106,1.9071590060673842,1.4390883038385576,0.7500805747447513,1.3497714420031586,0.8043969250293375,1.953317906278198,1.518296012599319,0.687459844398359,1.3979396031896765,0.9983074243210163,2.01243711459357,0.6273909372533606,0.7804806769387453,0.6000865639347036
l1vmim,60,60,1.1695581567444442,0.19243945311645289,1.1762856375134985,0.9325501422001992,1.3998386905196363,2.3142015713667594,0.44477877985962566,2.2092784492094815,1.8341784901575977,2.8991477747331995,2.324048080914138,0.6046173245639388,2.0579182645510232,1.75991480948884,3.1543111687025505,0.11230264523505497,0.826574159840004,1.293655638416234
