variant,inflation_std_sum_bnt_over_nobnt,fom3_ratio_bnt_over_nobnt,nobnt_fom3_mean,bnt_fom3_mean,rank_score
std10k_l10h320,0.9369544462901666,0.8588482712333096,109490.20793437981,94035.4758014177,0.2041972824765238
nostd10k_l10h320,1.0247701002241505,0.6635286133427004,130838.12053196474,86814.83668893967,0.3612414868814501
std6k_l8h256,1.0784914055296997,0.5904706276694187,184630.19027959436,109018.70434111629,0.488020777860281
